"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_fixationstimulus_pygaze_log","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_logger","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_loop","count_new_sequence","count_position_loop","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_shuffle_to_csv","count_start_pygaze_log","count_stop_pygaze_log","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_fixationstimulus_pygaze_log","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_logger","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_loop","time_new_sequence","time_position_loop","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_shuffle_to_csv","time_start_pygaze_log","time_stop_pygaze_log","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","0","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","25.659981833197023","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","017.png","010.png","0","even","3490553.0","NA","3394851","3497947","3492872","NA","3497921","3490553","NA","3492872","NA","NA","3492921","NA","3498080","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3490009","3489927","3395897","3482697","NA","3394855","3490010","3498047","3394862","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","0","0","0","0","1","1","0","18.23073558142954","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","002.png","000.png","0","even","3498658.0","NA","3394851","3505958","3500937","NA","3505952","3498658","NA","3500937","NA","NA","3500952","NA","3506063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3498174","3489927","3395897","3482697","NA","3394855","3498199","3506058","3394862","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","0","0","0","2","2","0","28.400422588405362","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","021.png","006.png","0","even","3506624.0","NA","3394851","3513263","3508249","NA","3513257","3506624","NA","3508249","NA","NA","3508257","NA","3513367","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3506141","3489927","3395897","3482697","NA","3394855","3506145","3513363","3394862","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","3","NA","NA","3","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","0","0","0","0","0","3","3","0","29.90544961975996","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","016.png","0","even","3513879.0","NA","3394851","3520929","3515911","NA","3520921","3513879","NA","3515911","NA","NA","3515921","NA","3521033","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3513446","3489927","3395897","3482697","NA","3394855","3513447","3521029","3394862","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","4","NA","NA","4","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","0","0","0","0","0","4","4","0","19.314574082800785","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","016.png","001.png","0","even","3521570.0","NA","3394851","3528214","3523196","NA","3528207","3521570","NA","3523196","NA","NA","3523207","NA","3528318","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3521101","3489927","3395897","3482697","NA","3394855","3521104","3528314","3394862","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","0","0","0","0","0","5","5","0","28.133858604890975","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","009.png","018.png","0","even","3528870.0","NA","3394851","3535854","3530839","NA","3535847","3528870","NA","3530839","NA","NA","3530847","NA","3535958","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3528411","3489927","3395897","3482697","NA","3394855","3528412","3535954","3394862","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","6","NA","NA","6","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","0","0","0","0","0","6","6","0","29.09161175596836","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","012.png","0","even","3536501.0","NA","3394851","3543177","3538164","NA","3543171","3536501","NA","3538164","NA","NA","3538171","NA","3543282","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3536042","3489927","3395897","3482697","NA","3394855","3536044","3543277","3394862","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","7","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","0","0","0","0","0","7","7","0","16.34062766970723","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","003.png","0","even","3543825.0","NA","3394851","3550362","3545347","NA","3550355","3543825","NA","3545347","NA","NA","3545355","NA","3550466","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3543388","3489927","3395897","3482697","NA","3394855","3543390","3550462","3394862","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","8","NA","NA","8","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","0","0","0","0","0","8","8","0","29.186452002256097","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","008.png","014.png","0","even","3551004.0","NA","3394851","3557576","3552561","NA","3557568","3551004","NA","3552561","NA","NA","3552568","NA","3557680","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3550567","3489927","3395897","3482697","NA","3394855","3550569","3557676","3394862","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","9","NA","NA","9","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","0","0","0","0","0","9","9","0","20.239611415242187","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","011.png","0","even","3558215.0","NA","3394851","3564886","3559867","NA","3564877","3558215","NA","3559867","NA","NA","3559877","NA","3564991","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3557766","3489927","3395897","3482697","NA","3394855","3557767","3564986","3394862","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","10","10","NA","10","10","NA","10","NA","NA","10","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","0","0","0","0","0","10","10","0","24.276317378053793","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","10","10","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","017.png","0","even","3565509.0","NA","3394851","3572300","3567278","NA","3572293","3565509","NA","3567278","NA","NA","3567293","NA","3572404","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3565074","3489927","3395897","3482697","NA","3394855","3565076","3572400","3394862","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","11","11","NA","11","11","NA","11","NA","NA","11","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11","0","0","0","0","0","11","11","0","19.980476102435627","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","11","11","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","013.png","015.png","0","even","3572914.0","NA","3394851","3579909","3574890","NA","3579901","3572914","NA","3574890","NA","NA","3574901","NA","3580013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3572484","3489927","3395897","3482697","NA","3394855","3572485","3580009","3394862","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","12","12","NA","12","12","NA","12","NA","NA","12","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","0","0","0","0","0","12","12","0","27.021038949677806","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","12","12","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","014.png","005.png","0","even","3580599.0","NA","3394851","3587477","3582462","NA","3587470","3580599","NA","3582462","NA","NA","3582470","NA","3587581","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3580118","3489927","3395897","3482697","NA","3394855","3580119","3587577","3394862","Left-Bias-Elimination","0","0","0","1920","160","-160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","13","13","NA","13","13","NA","13","NA","NA","13","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","0","0","0","0","0","13","13","0","11.861824642102855","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","13","13","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","006.png","002.png","0","even","3588141.0","NA","3394851","3594706","3589691","NA","3594700","3588140","NA","3589691","NA","NA","3589700","NA","3594810","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3587663","3489927","3395897","3482697","NA","3394855","3587665","3594806","3394862","Left-Bias-Elimination","0","0","0","1920","-160","160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","14","14","NA","14","14","NA","14","NA","NA","14","NA","14","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14","0","0","0","0","0","14","14","0","16.566672786048493","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","14","14","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","012.png","004.png","0","even","3595360.0","NA","3394851","3601880","3596862","NA","3601873","3595360","NA","3596862","NA","NA","3596873","NA","3601984","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3594878","3489927","3395897","3482697","NA","3394855","3594881","3601980","3394862","Left-Bias-Elimination","0","0","0","1920","277","-277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","15","15","NA","15","15","NA","15","NA","NA","15","NA","15","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15","0","0","0","0","0","15","15","0","11.512448087179397","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","15","15","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","019.png","021.png","0","even","3602557.0","NA","3394851","3609077","3604059","NA","3609071","3602557","NA","3604059","NA","NA","3604071","NA","3609181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3602076","3489927","3395897","3482697","NA","3394855","3602077","3609177","3394862","Left-Bias-Elimination","0","0","0","1920","320","-320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","16","16","NA","16","16","NA","16","NA","NA","16","NA","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","0","0","0","0","0","16","16","0","22.830719799428184","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","16","16","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","015.png","007.png","0","even","3609764.0","NA","3394851","3616356","3611334","NA","3616344","3609764","NA","3611334","NA","NA","3611344","NA","3616460","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3609276","3489927","3395897","3482697","NA","3394855","3609281","3616456","3394862","Left-Bias-Elimination","0","0","0","1920","-277","277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","17","17","NA","17","17","NA","17","NA","NA","17","NA","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17","0","0","0","0","0","17","17","0","22.93743885267059","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","17","17","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","013.png","0","even","3616986.0","NA","3394851","3623569","3618551","NA","3623563","3616986","NA","3618551","NA","NA","3618563","NA","3623673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3616548","3489927","3395897","3482697","NA","3394855","3616549","3623669","3394862","Left-Bias-Elimination","0","0","0","1920","320","-320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","18","18","NA","18","18","NA","18","NA","NA","18","NA","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18","0","0","0","0","0","18","18","0","23.120453531883825","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","18","18","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","007.png","008.png","0","even","3624210.0","NA","3394851","3630778","3625742","NA","3630772","3624210","NA","3625742","NA","NA","3625772","NA","3630883","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3623775","3489927","3395897","3482697","NA","3394855","3623776","3630878","3394862","Left-Bias-Elimination","0","0","0","1920","160","-160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","19","19","NA","19","19","NA","19","NA","NA","19","NA","19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19","0","0","0","0","0","19","19","0","6.609967745760892","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","19","19","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","020.png","020.png","0","even","3631427.0","NA","3394851","3637942","3632929","NA","3637936","3631427","NA","3632929","NA","NA","3632936","NA","3638046","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3630990","3489927","3395897","3482697","NA","3394855","3630991","3638042","3394862","Left-Bias-Elimination","0","0","0","1920","-277","277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","20","20","NA","20","20","NA","20","NA","NA","20","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","0","0","0","0","0","20","20","0","29.165553643982175","Mon Jun 24 16:21:07 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","20","20","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/max.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","1034.0","NA","1034","space","2","legacy","1024","2","48000","-16","experiment","NA","018.png","009.png","0","even","3638591.0","NA","3394851","3645166","3640150","NA","3645160","3638591","NA","3640150","NA","NA","3640160","NA","3645271","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3638121","3489927","3395897","3482697","NA","3394855","3638123","3645266","3394862","Left-Bias-Elimination","0","0","0","1920","0","0","-320","320"
