"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fix_sketchpad02","count_fixation","count_fixation02","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_script02","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_image_stimulus02","count_initial_fixation","count_logger","count_logger02","count_logging_delay","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_sequence","count_new_sequence02","count_position_loop","count_position_loop02","count_pygaze_log_fix02","count_pygaze_log_fixstim02","count_pygaze_start_recording","count_pygaze_start_recording02","count_pygaze_stop_recording","count_pygaze_stop_recording02","count_shuffle_to_csv","count_shuffle_to_csv02","count_start_pygaze_log","count_stop_pygaze_log","count_welcome","d","datetime","delay_logging_delay","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fix_sketchpad02","time_fixation","time_fixation02","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_script02","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_image_stimulus02","time_initial_fixation","time_logger","time_logger02","time_logging_delay","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_sequence","time_new_sequence02","time_position_loop","time_position_loop02","time_pygaze_log_fix02","time_pygaze_log_fixstim02","time_pygaze_start_recording","time_pygaze_start_recording02","time_pygaze_stop_recording","time_pygaze_stop_recording02","time_shuffle_to_csv","time_shuffle_to_csv02","time_start_pygaze_log","time_stop_pygaze_log","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","NA","0","0","NA","NA","0","NA","0","NA","0","0","NA","0","0","96.36818321168029","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","008.png","003.png","0","even","10378.0","NA","874","13573","NA","10433","NA","NA","10433","10378","NA","NA","NA","NA","10525","NA","NA","13673","NA","9878","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","13525","7479","NA","7367","NA","NA","NA","7479","NA","NA","NA","878","NA","NA","NA","884","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","NA","1","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","1","1","NA","0","0","NA","NA","1","NA","1","NA","0","0","NA","1","0","56.23053356602622","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","009.png","000.png","0","even","14403.0","NA","874","18194","NA","15122","NA","NA","15122","14403","NA","NA","NA","NA","15185","NA","NA","18294","NA","13903","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","18185","13898","NA","7367","NA","NA","NA","13899","NA","13737","NA","878","NA","NA","13695","884","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","NA","2","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","2","2","NA","0","0","NA","NA","2","NA","2","NA","0","0","NA","2","0","38.06631950057688","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","006.png","0","even","18921.0","NA","874","23484","NA","20432","NA","NA","20432","18921","NA","NA","NA","NA","20474","NA","NA","23584","NA","18421","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","23474","18416","NA","7367","NA","NA","NA","18416","NA","18311","NA","878","NA","NA","18306","884","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","NA","3","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","3","3","NA","0","0","NA","NA","3","NA","3","NA","0","0","NA","3","0","17.867975057067945","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","007.png","007.png","0","even","24272.0","NA","874","27717","NA","24279","NA","NA","24279","24272","NA","NA","NA","NA","24710","NA","NA","27817","NA","23772","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","27710","23767","NA","7367","NA","NA","NA","23767","NA","23600","NA","878","NA","NA","23595","884","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","NA","4","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","4","4","NA","0","0","NA","NA","4","NA","4","NA","0","0","NA","4","0","50.92460618286596","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","002.png","011.png","0","even","28437.0","NA","874","35018","NA","31972","NA","NA","31972","28437","NA","NA","NA","NA","32011","NA","NA","35118","NA","27937","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","35011","27932","NA","7367","NA","NA","NA","27933","NA","27833","NA","878","NA","NA","27829","884","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","5","NA","5","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","5","5","NA","0","0","NA","NA","5","NA","5","NA","0","0","NA","5","0","438.913852620762","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","006.png","008.png","0","even","35733.0","NA","874","47302","NA","40739","NA","NA","40739","35733","NA","NA","NA","NA","44291","NA","NA","47402","NA","35233","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","47291","35228","NA","7367","NA","NA","NA","35229","NA","35133","NA","878","NA","NA","35129","884","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","NA","6","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","6","6","NA","0","0","NA","NA","6","NA","6","NA","0","0","NA","6","0","81.10074290658501","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","001.png","0","even","48034.0","NA","874","54973","NA","51914","NA","NA","51914","48034","NA","NA","NA","NA","51965","NA","NA","55073","NA","47534","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","54966","47530","NA","7367","NA","NA","NA","47530","NA","47418","NA","878","NA","NA","47414","884","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","NA","7","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","7","7","NA","0","0","NA","NA","7","NA","7","NA","0","0","NA","7","0","76.18314011905792","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","004.png","0","even","55804.0","NA","874","59681","NA","56635","NA","NA","56635","55804","NA","NA","NA","NA","56674","NA","NA","59781","NA","55304","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","59674","55300","NA","7367","NA","NA","NA","55300","NA","55193","NA","878","NA","NA","55189","884","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","8","NA","8","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","8","8","NA","0","0","NA","NA","8","NA","8","NA","0","0","NA","8","0","263.0424214076505","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","004.png","005.png","0","even","60374.0","NA","874","68936","NA","65379","NA","NA","65379","60374","NA","NA","NA","NA","65925","NA","NA","69036","NA","59874","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","68925","59870","NA","7367","NA","NA","NA","59870","NA","59786","NA","878","NA","NA","59782","884","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","9","NA","9","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","9","9","NA","0","0","NA","NA","9","NA","9","NA","0","0","NA","9","0","367.9126228634184","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","009.png","0","even","69640.0","NA","874","79216","NA","74648","NA","NA","74649","69640","NA","NA","NA","NA","76209","NA","NA","79316","NA","69140","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","79209","69135","NA","7367","NA","NA","NA","69135","NA","69042","NA","878","NA","NA","69038","884","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","10","NA","10","NA","NA","10","10","NA","NA","NA","NA","10","NA","NA","10","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","10","10","NA","0","0","NA","NA","10","NA","10","NA","0","0","NA","10","0","34.514125240544644","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","10","10","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","010.png","0","even","79940.0","NA","874","91970","NA","79945","NA","NA","79946","79940","NA","NA","NA","NA","88963","NA","NA","92070","NA","79440","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","91963","79435","NA","7367","NA","NA","NA","79435","NA","79332","NA","878","NA","NA","79328","884","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","11","NA","11","NA","NA","11","11","NA","NA","NA","NA","11","NA","NA","11","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","11","11","NA","0","0","NA","NA","11","NA","11","NA","0","0","NA","11","0","34.514125240544644","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","11","11","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","002.png","0","even","92691.0","NA","874","104716","NA","92695","NA","NA","92695","92691","NA","NA","NA","NA","101708","NA","NA","104816","NA","92191","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","104708","92186","NA","7367","NA","NA","NA","92186","NA","92085","NA","878","NA","NA","92081","884","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","12","NA","12","NA","NA","12","12","NA","NA","NA","NA","12","NA","NA","12","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","12","12","NA","0","0","NA","NA","12","NA","12","NA","0","0","NA","12","0","66.52456043056578","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","12","12","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","002.png","0","even","105431.0","NA","874","109948","NA","105435","NA","NA","105435","105431","NA","NA","NA","NA","106936","NA","NA","110048","NA","104930","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","109936","104925","NA","7367","NA","NA","NA","104925","NA","104822","NA","878","NA","NA","104817","884","Left-Bias-Elimination","0","0","0","1920","-160","160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","13","NA","13","NA","NA","13","13","NA","NA","NA","NA","13","NA","NA","13","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","13","13","NA","0","0","NA","NA","13","NA","13","NA","0","0","NA","13","0","18.840126916769943","Mon Jun 17 13:09:25 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","13","13","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-0.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1447.0","NA","1447","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","010.png","0","even","110662.0","NA","874","114216","NA","111176","NA","NA","111176","110662","NA","NA","NA","NA","111206","NA","NA","114316","NA","110162","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2332","114206","110157","NA","7367","NA","NA","NA","110157","NA","110064","NA","878","NA","NA","110060","884","Left-Bias-Elimination","0","0","0","1920","277","-277","160","-160"
